// HASH_VALUE 4E6651617D57DB99
// INDEX 0
abandon_mission	[&TSK&你放弃了一个任务。]
// INDEX 1434
debug_target_mis_desc	[生物选中测试 - 要求装备：icmja（Matis 脚环）。]

// HASH_VALUE D6299C2505910B2F
// INDEX 1435
debug_target_mis_title	[调试指定目标。]

// HASH_VALUE EFFBB489B090DA1E
// INDEX 1436
debug_target_p_smg_target1	[简单生物指定目标。]

// HASH_VALUE 24DAE476E0F4B072
// INDEX 1437
debug_target_p_smg_target2	[在一个 place 内选中生物。]

// HASH_VALUE 7F436261B0AE0880
// INDEX 1438
debug_target_p_smg_target3	[NPC 指定目标。]

// HASH_VALUE 24DAE476E0F4B072
// INDEX 1439
debug_target_p_smg_target4	[在一个 place 内选中生物。]

// HASH_VALUE 7F436261B0AE0880
// INDEX 1440
debug_target_p_smg_target5	[NPC 指定目标。]

// HASH_VALUE E23CA32EF994BE31
// INDEX 1441
debug_teleport_mis_desc	[传送测试。]

// HASH_VALUE 099CA68C77A0345E
// INDEX 1442
debug_teleport_mis_title	[调试传送。]

// HASH_VALUE FDC34D9121A17340
// INDEX 1443
debug_teleport_p_t2_teleport	[你即将被传送。]

// HASH_VALUE CDA9832D31B61442
// INDEX 1444
debug_visit_mis_desc	[到访地点测试 - 通过右键菜单访问。]

// HASH_VALUE 312575409FDF0605
// INDEX 1445
debug_visit_mis_title	[调试寻访。]

// HASH_VALUE BCE61F486AB7C574
// INDEX 1446
debug_visit_p_menu_context	[地点寻访——调试。]

// HASH_VALUE 835A68DA27121F9A
// INDEX 1447
debug_visit_p_ovl_visit	[到访目标超载：前往 $debug_place_visit2$。]

// HASH_VALUE 835A68DAA639188C
// INDEX 1448
debug_visit_p_ovl_visit2	[到访目标超载：前往 $debug_place_visit$。]

// HASH_VALUE 29B74D74BCB56167
// INDEX 1449
debug_visit_p_ovl_visit3	[到访目标超载：前往 $place_camp$ 或 $debug_place_visit2$。]

// HASH_VALUE 6ED6CFC957E116B7
// INDEX 1450
debug_visit_p_smg_compass	[把该地点加入罗盘。]

// HASH_VALUE C3838770EE2489BB
// INDEX 1451
debug_visit_p_smg_compass2	[把该区域从罗盘中移除。]

// HASH_VALUE B408A47860386000
// INDEX 1452
debug_visit_p_smg_visit_timed	[地点内计时测试。]

// HASH_VALUE 9E88737775C3F446
// INDEX 1453
debug_visit_p_t2_giver	[任务继续……]

// HASH_VALUE EC993D978424C4A1
// INDEX 1454
default_crafted_items_talkmenu	[我制造好了那些物品。]

// HASH_VALUE 91DF14BFD9F637CB
// INDEX 1455
default_crafted_item_talkmenu	[我制造了 $crafted.da$ $crafted$。]

// HASH_VALUE E75DFBE4DD6DA975
// INDEX 1456
default_did_it_talkmenu	[我做到了……]

// HASH_VALUE 203430546014F014
// INDEX 1457
default_found_rms_talkmenu	[我找到了原材料。]

// HASH_VALUE 0DE7DA9087557699
// INDEX 1458
default_found_rm_talkmenu	[我找到了 $rawmat.ia$ $rawmat$。]

// HASH_VALUE 64064833A47044C7
// INDEX 1459
default_give_1_item_menu	[给予 $i$]

// HASH_VALUE 8EB3E77B26000152
// INDEX 1460
default_killed_creatures_group_talkmenu	[我们杀掉了那些生物。]

// HASH_VALUE 1377548D519EBF43
// INDEX 1461
default_killed_creatures_talkmenu	[我杀掉了那些生物。]

// HASH_VALUE FECEFECE96523D7F
// INDEX 1462
default_killed_creature_group_talkmenu	[我们杀掉了 $target.ia$ $target$。]

// HASH_VALUE FE6D068585247209
// INDEX 1463
default_killed_creature_talkmenu	[我杀掉了 $killed.ia$ $killed$。]

// HASH_VALUE 19BE16C391106627
// INDEX 1464
default_killed_species_talkmenu	[我杀掉了 $species.da$ $species.p$。]

// HASH_VALUE 53373417F3376AB5
// INDEX 1465
default_progress_talkmenu	[我在 $s$ 上进步了。]

// HASH_VALUE 4272AE722DE4A5C8
// INDEX 1466
default_sent_me_name_talkmenu	[$previous$ 派我来的……]

// HASH_VALUE 4272AE722DE4A5C8
// INDEX 1467
default_sent_me_talkmenu	[$previous$ 派我来的……]

// HASH_VALUE C3A2BF6C75FCC2DD
// INDEX 1468
default_sent_us_talkmenu	[$previous$ 派我们来的……]

// HASH_VALUE 53FE320CF4506214
// INDEX 1469
default_talk_to_bot_name	[与 $bn$ 谈谈]

// HASH_VALUE 3350C12F2CF827E2
// INDEX 1470
drunkstate1	[行行好，让我进去！最后一杯，我保证。]

// HASH_VALUE FC0C0C1CFC0C0C1C
// INDEX 1471
drunkstate2	[喝！喝！喝！]

// HASH_VALUE 0610A975830F11E5
// INDEX 1472
drunkstate3	[再给她来一杯，再给我来一杯，咱们一起醉倒吧——再给她来一杯……]

// HASH_VALUE EA96E8D4C6ACDC98
// INDEX 1473
drunkstate4	[哦，我的头，我可怜的头……好疼！]

// HASH_VALUE 879575324B1F9D5C
// INDEX 1474
dyron_city_welcomer_1_p_t2_welcomer	[我在找城里的其他人。]

// HASH_VALUE 9EC5FB7334FB4F30
// INDEX 1475
effect_bleed_begin	[&DG&你的伤口在大出血。]

// HASH_VALUE 65142920B6032A49
// INDEX 1476
effect_bleed_begin_actor	[&SYS&$e.da$ $e$ 的伤口在大出血。]

// HASH_VALUE 38EDB0A40AC7D8BC
// INDEX 1477
effect_bleed_ended	[&DG&你不再流血。]

// HASH_VALUE 89DA2A86F2E34EDA
// INDEX 1478
effect_bleed_ended_actor	[&SYS&$e.da$ $e$ 不再流血。]

// HASH_VALUE 5EF4A4BDD805559B
// INDEX 1479
effect_bleed_lose_hp	[&DG&你正在流血，失去 $i$ 点生命。]

// HASH_VALUE 38DAD1E7331EDAEE
// INDEX 1480
effect_bleed_lose_hp_actor	[&SYS&$e.da$ $e$ 正在流血，失去 $i$ 点生命。]

// HASH_VALUE 592650FDE8D10475
// INDEX 1481
effect_blind_begin_creator_m	[&SYS&$e.da$ $e$ 被弄瞎了——他的动作现在有失败之虞。]

// HASH_VALUE 592650FDE85D0475
// INDEX 1482
effect_blind_begin_creator_f	[&SYS&$e.da$ $e$ 被弄瞎了——她的动作现在有失败之虞。]

// HASH_VALUE 88386FC40BCD2BA9
// INDEX 1483
effect_blind_begin_spectators_m	[&SYS&$actor.da$ $actor$ 令 $target.da$ $target$ 失明——其动作现在有失败之虞。]

// HASH_VALUE 88386FC40BCD2BA9
// INDEX 1484
effect_blind_begin_spectators_f	[&SYS&$actor.da$ $actor$ 令 $target.da$ $target$ 失明——其动作现在有失败之虞。]

// HASH_VALUE 5E46AE2F611BD542
// INDEX 1485
effect_blind_begin_target	[&SPL&$e.da$ $e$ 把你弄瞎了——你的动作现在有失败之虞。]

// HASH_VALUE 9504DF8CBF40662B
// INDEX 1486
effect_blind_end_creator	[&SYS&$e.da$ $e$ 不再被弄瞎。]

// HASH_VALUE 9504DF8CBF40662B
// INDEX 1487
effect_blind_end_spectators	[&SYS&$e.da$ $e$ 不再被弄瞎。]

// HASH_VALUE C9799F2EC10D4D2E
// INDEX 1488
effect_blind_end_target	[&SPL&你不再被弄瞎。]

// HASH_VALUE DF04DF6AF4368998
// INDEX 1489
effect_blind_self_begin_actor	[&SPLM&你把自己弄瞎了——你的动作现在有失败之虞。]

// HASH_VALUE 71756AD7B7FB089C
// INDEX 1490
effect_blind_self_begin_spectators_creature	[&SYS&$c.da$ $c$ 把自己弄瞎了——其动作现在有失败之虞。]

// HASH_VALUE 71756AD7B7EB049C
// INDEX 1491
effect_blind_self_begin_spectators_npc_m	[&SYS&$b.da$ $b$ 把自己弄瞎了——其动作现在有失败之虞。]

// HASH_VALUE 71756AD7B7EB049C
// INDEX 1492
effect_blind_self_begin_spectators_npc_f	[&SYS&$b.da$ $b$ 把自己弄瞎了——其动作现在有失败之虞。]

// HASH_VALUE 54FC8CDAEA492CA4
// INDEX 1493
effect_blind_self_begin_spectator_player_m	[&SYS&$p$ 把自己弄瞎了——其动作现在有失败之虞。]

// HASH_VALUE 54FC8CDAEA492CA4
// INDEX 1494
effect_blind_self_begin_spectator_player_f	[&SYS&$p$ 把自己弄瞎了——其动作现在有失败之虞。]

// HASH_VALUE 015ECE5246476BA1
// INDEX 1495
effect_debuff_combat_begin_creator	[&SYS&$e.da$ $e$ 的战斗技能受到惩罚。]

// HASH_VALUE 2A95F3B263A25C7F
// INDEX 1496
effect_debuff_combat_begin_spectators	[&SYS&$target.da$ $target$ 的战斗技能现在受到惩罚。]

// HASH_VALUE 62E8C40E9E544AF4
// INDEX 1497
effect_debuff_combat_begin_target	[&SPL&你的战斗技能受到惩罚。]

// HASH_VALUE 1DDA179EC59847A0
// INDEX 1498
effect_debuff_combat_end_creator	[&SYS&$c.da$ $c$ 的法术命中它自己，造成 $n$ 点树液伤害。]

// HASH_VALUE 1DDA179EC59847A0
// INDEX 1499
effect_debuff_combat_end_spectators	[&SYS&$c.da$ $c$ 的法术命中它自己，造成 $n$ 点树液伤害。]

// HASH_VALUE 507D83C592964C4A
// INDEX 1500
effect_debuff_combat_end_target	[&SPL&你的战斗技能不再受惩罚。]

// HASH_VALUE 1D7B5E4F3E31824A
// INDEX 1501
effect_debuff_combat_self_begin_actor	[&SPL&你的战斗技能现在受到惩罚。]

// HASH_VALUE C590EFCE0579C76E
// INDEX 1502
effect_debuff_combat_self_begin_spectators_creature	[&SYS&$c.da$ $c$ 的战斗技能现在受到惩罚。]

// HASH_VALUE C590EFCE0569C36E
// INDEX 1503
effect_debuff_combat_self_begin_spectators_npc_m	[&SYS&$b.da$ $b$ 的战斗技能现在受到惩罚。]

// HASH_VALUE C590EFCE0569C36E
// INDEX 1504
effect_debuff_combat_self_begin_spectators_npc_f	[&SYS&$b.da$ $b$ 的战斗技能现在受到惩罚。]

// HASH_VALUE C1D79149B29CD032
// INDEX 1505
effect_debuff_combat_self_begin_spectator_player_m	[&SYS&$p$ 把自己定根了，无法再移动。]

// HASH_VALUE C1D79149B29CD032
// INDEX 1506
effect_debuff_combat_self_begin_spectator_player_f	[&SYS&$p$ 把自己定根了，无法再移动。]

// HASH_VALUE 9542B25246476B79
// INDEX 1507
effect_debuff_defense_begin_creator	[&SYS&$e.da$ $e$ 的闪避现在受到惩罚。]

// HASH_VALUE B8DCA4B01C1F1B25
// INDEX 1508
effect_debuff_defense_begin_spectators	[&SYS&$target.da$ $target$ 的防御现在受到惩罚。]

// HASH_VALUE 2C4821206AD8AF03
// INDEX 1509
effect_debuff_defense_begin_target	[&SPL&防御现在受到惩罚。]

// HASH_VALUE 9C11E65C4184B6CC
// INDEX 1510
effect_debuff_defense_end_creator	[&SYS&$e.da$ $e$ 的防御不再受惩罚。]

// HASH_VALUE 9C11E65C4184B6CC
// INDEX 1511
effect_debuff_defense_end_spectators	[&SYS&$e.da$ $e$ 的防御不再受惩罚。]

// HASH_VALUE E4B2F4814B93AD25
// INDEX 1512
effect_debuff_defense_end_target	[&SPL&你的防御不再受惩罚。]

// HASH_VALUE 62E2540ADE544AF4
// INDEX 1513
effect_debuff_defense_self_begin_actor	[&SPL&你的防御现在受到惩罚。]

// HASH_VALUE 953ED75246276379
// INDEX 1514
effect_debuff_defense_self_begin_spectators_creature	[&SYS&$c.da$ $c$ 的防御现在受到惩罚。]

// HASH_VALUE 1F4A0984C10C2248
// INDEX 1515
effect_debuff_defense_self_begin_spectators_npc_m	[&SYS&$b.da$ $b$ 为自己恢复 $i$ 点体力。]

// HASH_VALUE 953ED75246175F79
// INDEX 1516
effect_debuff_defense_self_begin_spectators_npc_f	[&SYS&$b.da$ $b$ 的防御现在受到惩罚。]

// HASH_VALUE 7CF23713AC28CB7F
// INDEX 1517
effect_debuff_defense_self_begin_spectator_player_m	[&SYS&$p$ 的防御现在受到惩罚。]

// HASH_VALUE 7CF23713AC28CB7F
// INDEX 1518
effect_debuff_defense_self_begin_spectator_player_f	[&SYS&$p$ 的防御现在受到惩罚。]

// HASH_VALUE E74FC3F59F0AF28C
// INDEX 1519
effect_debuff_dodge_begin_creator	[&SYS&一只 Kami 对你说：Me 很生气！接着这个！]

// HASH_VALUE 65DCA4B01C1F1B66
// INDEX 1520
effect_debuff_dodge_begin_spectators	[&SYS&$target.da$ $target$ 的闪避现在受到惩罚。]

// HASH_VALUE 62E2548C38544AF4
// INDEX 1521
effect_debuff_dodge_begin_target	[&SPL&你的闪避现在受到惩罚。]

// HASH_VALUE E74FC3F59F0AF28C
// INDEX 1522
effect_debuff_dodge_end_creator	[&SYS&一只 Kami 对你说：Me 很生气！接着这个！]

// HASH_VALUE 9C15C15C4184B6CC
// INDEX 1523
effect_debuff_dodge_end_spectators	[&SYS&$e.da$ $e$ 的闪避不再受惩罚。]

// HASH_VALUE E4B2F4C208FEAD25
// INDEX 1524
effect_debuff_dodge_end_target	[&SPL&你的闪避不再受惩罚。]

// HASH_VALUE E402548C38544AF4
// INDEX 1525
effect_debuff_dodge_self_begin_actor	[&SYS&你的闪避现在受到惩罚。]

// HASH_VALUE 953ED75246476B79
// INDEX 1526
effect_debuff_dodge_self_begin_spectators_creature	[&SYS&$e.da$ $e$ 的防御现在受到惩罚。]

// HASH_VALUE 1C4A0984C10C2295
// INDEX 1527
effect_debuff_dodge_self_begin_spectators_npc_m	[&SYS&$b.da$ $b$ 为自己恢复 $i$ 点树液。]

// HASH_VALUE 1C4A0984C10C2295
// INDEX 1528
effect_debuff_dodge_self_begin_spectators_npc_f	[&SYS&$b.da$ $b$ 为自己恢复 $i$ 点树液。]

// HASH_VALUE 8C5D3713AC2CA67F
// INDEX 1529
effect_debuff_dodge_self_begin_spectator_player_m	[&SYS&$p$ 的闪避现在受到惩罚。]

// HASH_VALUE 8C5D3713AC2CA67F
// INDEX 1530
effect_debuff_dodge_self_begin_spectator_player_f	[&SYS&$p$ 的闪避现在受到惩罚。]

// HASH_VALUE 87527A0D71DCCA25
// INDEX 1531
effect_dot_begin_creator_m	[&SYS& 待办。]

// HASH_VALUE 87527A0D71DCCA25
// INDEX 1532
effect_dot_begin_creator_f	[&SYS& 待办。]

// HASH_VALUE F4265A8EBF207664
// INDEX 1533
effect_dot_begin_spectators_m	[&SYS&$actor.da$ $actor$ 令 $target.da$ $target$ 臭不可闻——附近的一切生灵都将苦于恶臭。]

// HASH_VALUE F4265A8EBF207664
// INDEX 1534
effect_dot_begin_spectators_f	[&SYS&$actor.da$ $actor$ 令 $target.da$ $target$ 臭不可闻——附近的一切生灵都将苦于恶臭。]

// HASH_VALUE 87527A0D71DCCA25
// INDEX 1535
effect_dot_begin_target	[&SYS& 待办。]

// HASH_VALUE 70A02A86F2E34EDA
// INDEX 1536
effect_dot_end_creator	[&SYS&$e.da$ $e$ 不再发臭。]

// HASH_VALUE 70A02A86F2E34EDA
// INDEX 1537
effect_dot_end_spectators	[&SYS&$e.da$ $e$ 不再发臭。]

// HASH_VALUE 788FE7EBA3468512
// INDEX 1538
effect_dot_end_target	[&SPL&你不再发臭。]

// HASH_VALUE ED7833000C00AEA4
// INDEX 1539
effect_dot_lose_hp	[&SPL&$e.da$ $e$ 臭得你直恶心，失去 $i$ 点生命。]

// HASH_VALUE AFC591564479ECD3
// INDEX 1540
effect_dot_lose_hp_actor	[&SPL&你臭得 $e.da$ $e$ 直恶心，失去 $i$ 点生命。]

// HASH_VALUE DC31CABCB41F8CD7
// INDEX 1541
effect_dot_self_begin_actor	[&SPLM&你把自己弄得臭不可闻——附近的一切生灵都将苦于恶臭。]

// HASH_VALUE 97D732695C4D517A
// INDEX 1542
effect_dot_self_begin_spectators_creature	[&SYS&$c.da$ $c$ 把自己弄得臭不可闻——附近的一切生灵都将苦于恶臭。]

// HASH_VALUE 97D732695C3D4D7A
// INDEX 1543
effect_dot_self_begin_spectators_npc_m	[&SYS&$b.da$ $b$ 把自己弄得臭不可闻——附近的一切生灵都将苦于恶臭。]

// HASH_VALUE 97D732695C3D4D7A
// INDEX 1544
effect_dot_self_begin_spectators_npc_f	[&SYS&$b.da$ $b$ 把自己弄得臭不可闻——附近的一切生灵都将苦于恶臭。]

// HASH_VALUE DA1DD57667DC5A17
// INDEX 1545
effect_dot_self_begin_spectator_player_m	[&SYS&$p$ 把自己弄得臭不可闻——附近的一切生灵都将苦于恶臭。]

// HASH_VALUE DA1DD57667DC5A17
// INDEX 1546
effect_dot_self_begin_spectator_player_f	[&SYS&$p$ 把自己弄得臭不可闻——附近的一切生灵都将苦于恶臭。]

// HASH_VALUE B1358B7512E7A153
// INDEX 1547
effect_fear_begin_creator	[&SYS&$e.da$ $e$ 被恐惧麻痹，无法再行动。]

// HASH_VALUE 615DAD5D856484E0
// INDEX 1548
effect_fear_begin_spectators	[&SYS&$actor.da$ $actor$ 恐吓 $target.da$ $target$——后者无法再攻击。]

// HASH_VALUE 2D4D804791BC0E00
// INDEX 1549
effect_fear_begin_target	[&SPL&$e.da$ $e$ 恐吓了你——你无法再行动。]

// HASH_VALUE CADDAFDB8935ECFC
// INDEX 1550
effect_fear_end_creator_m	[&SYS&$e.da$ $e$ 恢复了镇定，可以再次行动。]

// HASH_VALUE CADDAFDB8935ECFC
// INDEX 1551
effect_fear_end_creator_f	[&SYS&$e.da$ $e$ 恢复了镇定，可以再次行动。]

// HASH_VALUE CADDAFDB8935ECFC
// INDEX 1552
effect_fear_end_spectators	[&SYS&$e.da$ $e$ 恢复了镇定，可以再次行动。]

// HASH_VALUE 663AD6A319B78980
// INDEX 1553
effect_fear_end_target	[&SPL&你恢复了镇定，可以再次行动。]

// HASH_VALUE 132A5F531C910DC9
// INDEX 1554
effect_fear_self_begin_actor	[&SPL&你被恐吓了，无法再行动。]

// HASH_VALUE 953ED75246276379
// INDEX 1555
effect_fear_self_begin_spectators_creature	[&SYS&$c.da$ $c$ 的防御现在受到惩罚。]

// HASH_VALUE 953ED75246175F79
// INDEX 1556
effect_fear_self_begin_spectators_npc_m	[&SYS&$b.da$ $b$ 的防御现在受到惩罚。]

// HASH_VALUE 953ED75246175F79
// INDEX 1557
effect_fear_self_begin_spectators_npc_f	[&SYS&$b.da$ $b$ 的防御现在受到惩罚。]

// HASH_VALUE 6381449B7667FE8E
// INDEX 1558
effect_fear_self_begin_spectator_player_m	[&SYS&$p$ 被恐吓了，无法再行动。]

// HASH_VALUE 6381449B7667FE8E
// INDEX 1559
effect_fear_self_begin_spectator_player_f	[&SYS&$p$ 被恐吓了，无法再行动。]

// HASH_VALUE AB93C1E41E958D41
// INDEX 1560
effect_invulnerability_begin_creator	[&SYS&$e.da$ $e$ 处于无敌状态，但无法再执行任何动作。]

// HASH_VALUE B622FEE2D98860DD
// INDEX 1561
effect_invulnerability_begin_spectators	[&SYS&$actor.da$ $actor$ 令 $target.da$ $target$ 暂时无敌——后者无法再执行任何动作。]

// HASH_VALUE 97CD455FCECA963C
// INDEX 1562
effect_invulnerability_begin_target	[&SPLM&$e.da$ $e$ 令你暂时无敌——但你无法再执行任何动作。]

// HASH_VALUE 3965072A7254CB7B
// INDEX 1563
effect_invulnerability_end_creator	[&SYS&$e.da$ $e$ 不再无敌，可以再次行动。]

// HASH_VALUE 3965072A7254CB7B
// INDEX 1564
effect_invulnerability_end_spectators	[&SYS&$e.da$ $e$ 不再无敌，可以再次行动。]

// HASH_VALUE A9342AD85E743EDF
// INDEX 1565
effect_invulnerability_end_target	[&SPLM&你不再无敌，可以再次行动。]

// HASH_VALUE A3FBFC50EACDAD80
// INDEX 1566
effect_invulnerability_self_begin_actor	[&SPLM&你处于无敌状态，但无法再执行动作。]

// HASH_VALUE AB9338EA63E55841
// INDEX 1567
effect_invulnerability_self_begin_spectators_creature	[&SYS&$c.da$ $c$ 处于无敌状态，但无法再执行动作。]

// HASH_VALUE AB9338EA63D55441
// INDEX 1568
effect_invulnerability_self_begin_spectators_npc_m	[&SYS&$b.da$ $b$ 处于无敌状态，但无法再执行动作。]

// HASH_VALUE AB9338EA63D55441
// INDEX 1569
effect_invulnerability_self_begin_spectators_npc_f	[&SYS&$b.da$ $b$ 处于无敌状态，但无法再执行动作。]

// HASH_VALUE 1F656D8CE5390ABA
// INDEX 1570
effect_invulnerability_self_begin_spectator_player_m	[&SYS&$p$ 处于无敌状态，但无法再执行动作。]

// HASH_VALUE 1F656D8CE5390ABA
// INDEX 1571
effect_invulnerability_self_begin_spectator_player_f	[&SYS&$p$ 处于无敌状态，但无法再执行动作。]

// HASH_VALUE 8715249DA95135C7
// INDEX 1572
effect_madness_begin_creator_m	[&SYS&$e.da$ $e$ 已经发疯，可能把目标转向他自己而非对手。]

// HASH_VALUE 8715249DA9513580
// INDEX 1573
effect_madness_begin_creator_f	[&SYS&$e.da$ $e$ 已经发疯，可能把目标转向她自己而非对手。]

// HASH_VALUE 1DDA179EC58828A0
// INDEX 1574
effect_madness_begin_spectators	[&SYS&$b.da$ $b$ 的法术命中他自己，造成 $n$ 点树液伤害。]

// HASH_VALUE F970F46BFD3CEA65
// INDEX 1575
effect_madness_begin_target	[&SPL&$e.da$ $e$ 把你弄疯了——你现在可能把进攻法术瞄准自己。]

// HASH_VALUE 1A553620B60EB09F
// INDEX 1576
effect_madness_end_creator	[&SYS&$e.da$ $e$ 的攻击不再迟缓。]

// HASH_VALUE 1A553620B60EB09F
// INDEX 1577
effect_madness_end_spectators	[&SYS&$e.da$ $e$ 的攻击不再迟缓。]

// HASH_VALUE 6BC79A591523317F
// INDEX 1578
effect_madness_end_target	[&SPL&你不再处于癫狂状态。]

// HASH_VALUE 82FEE23FF26075C5
// INDEX 1579
effect_madness_self_begin_actor	[&SPL&你把自己逼疯了。]

// HASH_VALUE 5BF1127BCD2D71CE
// INDEX 1580
effect_madness_self_begin_spectators_creature	[&SYS&$c.da$ $c$ 把自己弄疯了——现在它可能攻击自己，或对自己施法。]

// HASH_VALUE 5B84127BCD1D6DCE
// INDEX 1581
effect_madness_self_begin_spectators_npc_m	[&SYS&$b.da$ $b$ 把自己弄疯了——现在他可能攻击自己，或对自己施法。]

// HASH_VALUE 5B10127BCD1D6DCE
// INDEX 1582
effect_madness_self_begin_spectators_npc_f	[&SYS&$b.da$ $b$ 把自己弄疯了——现在她可能攻击自己，或对自己施法。]

// HASH_VALUE 909E2134E561AB2C
// INDEX 1583
effect_madness_self_begin_spectator_player_m	[&SYS&$p$ 把自己弄疯了——现在他可能攻击自己，或对自己施法。]

// HASH_VALUE BE9E2134E561AB2C
// INDEX 1584
effect_madness_self_begin_spectator_player_f	[&SYS&$p$ 把自己弄疯了——现在她可能攻击自己，或对自己施法。]

// HASH_VALUE F2992F8240B76BB7
// INDEX 1585
effect_mezz_begin_creator	[&SYS&$e.da$ $e$ 已被催眠，无法行动或移动。]

// HASH_VALUE F006B3A7ADC1D8EC
// INDEX 1586
effect_mezz_begin_spectators	[&SYS&$target.da$ $target$ 被 $actor.da$ $actor$ 催眠，无法再行动或移动。]

// HASH_VALUE F6AD87E4A5CBE1B8
// INDEX 1587
effect_mezz_begin_target	[&SYS&$e.da$ $e$ 把你催眠了——你无法再行动或移动。]

// HASH_VALUE 3804DF8CBF4066BD
// INDEX 1588
effect_mezz_end_creator	[&SYS&$e.da$ $e$ 不再被催眠。]

// HASH_VALUE 3804DF8CBF4066BD
// INDEX 1589
effect_mezz_end_spectators	[&SYS&$e.da$ $e$ 不再被催眠。]

// HASH_VALUE C993C92EC127772E
// INDEX 1590
effect_mezz_end_target	[&SPL&你不再被催眠。]

// HASH_VALUE DF71B49581C3F682
// INDEX 1591
effect_mezz_self_begin_actor	[&SPLM&你把自己催眠了，无法再行动或移动。]

// HASH_VALUE 82764985150B6332
// INDEX 1592
effect_mezz_self_begin_spectators_creature	[&SYS&$c.da$ $c$ 把自己催眠了，无法再行动或移动。]

// HASH_VALUE 8276498515FB5F32
// INDEX 1593
effect_mezz_self_begin_spectators_npc_m	[&SYS&$b.da$ $b$ 把自己催眠了，无法再行动或移动。]

// HASH_VALUE CD3D7F4750F521AF
// INDEX 1594
effect_mezz_self_begin_spectators_npc_f	[&ITMF&不过，附近探测到一些指定的原材料。]

// HASH_VALUE ABAADC527A68CE11
// INDEX 1595
effect_mezz_self_begin_spectator_player_m	[&SYS&$p$ 把自己催眠了，无法再行动或移动。]

// HASH_VALUE ABAADC527A68CE11
// INDEX 1596
effect_mezz_self_begin_spectator_player_f	[&SYS&$p$ 把自己催眠了，无法再行动或移动。]

// HASH_VALUE E83377370F6402BE
// INDEX 1597
effect_poison_begin	[&SPL&你中毒了。]

// HASH_VALUE FF5E08796F6FF7D4
// INDEX 1598
effect_poison_begin_caster	[&SYS&$e.da$ $e$ 中毒了。]

// HASH_VALUE CD8FCA3DD15A85CA
// INDEX 1599
effect_poison_ends	[&SPL&你不再中毒。]

// HASH_VALUE 9EB42A86F2E34EDA
// INDEX 1600
effect_poison_ends_caster	[&SYS&$e.da$ $e$ 不再中毒。]

// HASH_VALUE BFC7A97176CACEEC
// INDEX 1601
effect_poison_lose_hp	[&DG&你因血脉中流淌的毒液失去 $i$ 点生命。]

// HASH_VALUE FAB3D4490C000BCA
// INDEX 1602
effect_poison_lose_hp_caster	[&SYS&$e.da$ $e$ 正受毒效折磨，失去 $i$ 点生命。]

// HASH_VALUE 324D4D8256E420AE
// INDEX 1603
effect_root_begin_creator	[&SYS&$e.da$ $e$ 已被定根，无法移动。]

// HASH_VALUE F0E07FB58FC11DEC
// INDEX 1604
effect_root_begin_spectators	[&SYS&$target.da$ $target$ 被 $actor.da$ $actor$ 定根，无法再移动。]

// HASH_VALUE 575D8782263FFFB8
// INDEX 1605
effect_root_begin_target	[&SPL&$e.da$ $e$ 把你定根了——你无法再移动。]

// HASH_VALUE 3804DF8CBF4066B8
// INDEX 1606
effect_root_end_creator	[&SYS&$e.da$ $e$ 不再被定根。]

// HASH_VALUE 3804DF8CBF4066B8
// INDEX 1607
effect_root_end_spectators	[&SYS&$e.da$ $e$ 不再被定根。]

// HASH_VALUE C943D92EC1D7872E
// INDEX 1608
effect_root_end_target	[&SPL&你不再被定根。]

// HASH_VALUE 00DC508F13C2C582
// INDEX 1609
effect_root_self_begin_actor	[&SPLM&你把自己定根了，无法再移动。]

// HASH_VALUE 828F4985D36C41B5
// INDEX 1610
effect_root_self_begin_spectators_creature	[&SYS&$c.da$ $c$ 把自己定根了，无法再移动。]

// HASH_VALUE 828F4985D35C3DB5
// INDEX 1611
effect_root_self_begin_spectators_npc_m	[&SYS&$b.da$ $b$ 把自己定根了，无法再移动。]

// HASH_VALUE 828F4985D35C3DB5
// INDEX 1612
effect_root_self_begin_spectators_npc_f	[&SYS&$b.da$ $b$ 把自己定根了，无法再移动。]

// HASH_VALUE E853036D24568CD4
// INDEX 1613
effect_root_self_begin_spectator_player_m	[&SYS&前哨已正式进入冲突状态。]

// HASH_VALUE C1D79149B29CD032
// INDEX 1614
effect_root_self_begin_spectator_player_f	[&SYS&$p$ 把自己定根了，无法再移动。]

// HASH_VALUE FEC3A4616C282FEE
// INDEX 1615
effect_slow_attacks_begin_creator	[&SPLM&你已使 $e.da$ $e$ 的攻击迟缓。]

// HASH_VALUE 8F9F45E35C15EE3E
// INDEX 1616
effect_slow_attacks_begin_spectators	[&EMT&$a$ 对 $t$ 说："冷静点，老兄。看海浪，稳住。"]

// HASH_VALUE 8B6BE1986FC8369B
// INDEX 1617
effect_slow_attacks_begin_target	[&SPL&$e.da$ $e$ 已使你的攻击迟缓。]

// HASH_VALUE DC4EFC164BCBA3F0
// INDEX 1618
effect_slow_attacks_end_creator	[&SYS&$p$ 的战斗技能现在受到惩罚。]

// HASH_VALUE DC4EFC164BCBA3F0
